,ethnicity_ID,wikidata_id,ethnicity_label,corresponding_ethnicity,count
83,/m/0cmdl5l,Q7681244,Tamil Brahmin,https://en.wikipedia.org/wiki/Tamil_Brahmin,5
84,/m/0268d21,Q1261777,Serbian Americans,https://en.wikipedia.org/wiki/Serbian_Americans,6
85,/m/0912ll,Q5290725,Dominican Americans,https://en.wikipedia.org/wiki/Dominican_Americans,4
86,/m/022dp5,Q1189552,Polish Americans,https://en.wikipedia.org/wiki/Polish_Americans,27
87,/m/019lrz,Q237534,Austrians,https://en.wikipedia.org/wiki/Austrians,16
88,/m/03bx0k4,Q1142927,Hongkongers,https://en.wikipedia.org/wiki/Hongkongers,21
89,/m/02p_gby,Q16197531,Rusyn American,https://en.wikipedia.org/wiki/Rusyn_Americans,2
90,/m/012c1l,Q857880,French Canadians,https://en.wikipedia.org/wiki/French_Canadians,7
91,/m/04y29,Q47740,Muslim,https://en.wikipedia.org/wiki/Muslims,1
92,/m/09743,Q2556103,Pashtuns,https://en.wikipedia.org/wiki/Pashtuns,6
93,/m/03w9bjf,Q4115170,British Indian,https://en.wikipedia.org/wiki/British_Indians,18
94,/m/09m6hr,Q418708,Telugu people,https://en.wikipedia.org/wiki/Telugu_people,16
95,/m/0583cz,Q3243684,Kayastha,https://en.wikipedia.org/wiki/Kayastha,4
96,/m/02g7sp,Q6071674,Irish migration to Great Britain,https://en.wikipedia.org/wiki/Irish_people_in_Great_Britain,21
97,/m/063k3h,Q7435494,Scotch-Irish Americans,https://en.wikipedia.org/wiki/Scotch-Irish_Americans,18
98,/m/071x0k,Q4172847,Filipino people,https://en.wikipedia.org/wiki/Filipinos,25
99,/m/0bhsnb,Q1815623,Sri Lankan Tamils,https://en.wikipedia.org/wiki/Sri_Lankan_Tamils,6
100,/m/0bkbz,Q853581,names of the Greeks,https://en.wikipedia.org/wiki/Names_of_the_Greeks,38
101,/m/0f0gt_,Q4058325,Asian people,https://en.wikipedia.org/wiki/Asian_people,22
102,/m/0283js_,,,,7
103,/m/01kg2v,Q47140,Brahmin,https://en.wikipedia.org/wiki/Brahmin,2
104,/m/0828vj,Q7697877,Telugu Brahmins,https://en.wikipedia.org/wiki/Telugu_Brahmin,1
105,/m/08v2k7,Q2257191,Italian Australians,https://en.wikipedia.org/wiki/Italian_Australians,2
106,/m/03gskx0,Q4823807,Australian Americans,https://en.wikipedia.org/wiki/Australian_Americans,6
107,/m/0h2138,Q518188,Czech Americans,https://en.wikipedia.org/wiki/Czech_Americans,7
108,/m/0fng3k,Q6164703,Jatt Sikh,https://en.wikipedia.org/wiki/Jat_Sikh,1
109,/m/023mqw,Q1996554,Kashmiri Pandit,https://en.wikipedia.org/wiki/Kashmiri_Pandits,9
110,/m/0222hg,Q1645980,Jaat,https://en.wikipedia.org/wiki/Jats,7
111,/m/09vmyh,Q1280677,Serbs of Croatia,https://en.wikipedia.org/wiki/Serbs_of_Croatia,1
112,/m/06fczy,Q40809606,Black Irish,https://en.wikipedia.org/wiki/Black_Irish_(folklore),2
113,/m/03lmx1,Q181634,Scottish people,https://en.wikipedia.org/wiki/Scottish_people,62
114,/m/03vv99,Q4969441,British Americans,https://en.wikipedia.org/wiki/British_Americans,15
115,/m/09zyn5,Q188779,Norwegians,https://en.wikipedia.org/wiki/Norwegians,18
116,/m/0470lk,Q165235,Bosnians,https://en.wikipedia.org/wiki/Bosnians,3
117,/m/0fj1k9,Q7507476,Sicilian Americans,https://en.wikipedia.org/wiki/Sicilian_Americans,5
118,/m/03cbkrf,Q4065203,English Australian,https://en.wikipedia.org/wiki/English_Australians,5
119,/m/0bbz66j,Q1318423,Australians,https://en.wikipedia.org/wiki/Australians,24
120,/m/0268_k,Q164714,Danes,https://en.wikipedia.org/wiki/Danes,28
121,/m/04dzwby,Q5501711,French Chilean,https://en.wikipedia.org/wiki/French_Chileans,1
