,rating,title,year,id,imdbid
26,0,Dickson Greeting,1891,9626,0241373
27,0,Men Boxing,1891,9628,0241715
28,0,Newark Athlete,1891,9629,0241763
29,0,"Duncan and Another, Blacksmith Shop",1891,9792,0241393
30,0,Duncan Smoking,1891,9793,0241392
31,0,Duncan or Devonald with Muslin Cloud,1891,9794,0241394
32,0,"Monkey and Another, Boxing",1891,9795,0241735
33,0,Je vous aime,1891,9800,3201916
34,0,La vague,1891,9802,3508566
35,0,Two Fencers,1891,9943,5447082
44,0,Annabelle Butterfly Dance,1894,9636,0229217
45,0,Edison Kinetoscope Records: Annie Oakley,1894,9642,8419312
46,0,Autour d&#39;une cabine,1894,9646,0000015
47,0,"Barbershop, The",1894,9648,0229235
48,0,Bucking Broncho,1894,9649,0309396
49,0,Buffalo Dance,1894,9650,0309402
50,0,Edison Kinetoscopic Record of a Sneeze,1894,9652,0000008
51,0,Dickson Experimental Sound Film,1894,9654,0177707
52,0,Chinese Opium Den,1894,9655,0000006
53,0,Corbett and Courtney Before the Kinetograph,1894,9656,0000007
54,0,Falling Cat,1894,9662,2049440
55,0,"Glenroy Bros., No. 2",1894,9663,0312728
56,0,Glenroy Brothers,1894,9664,0256782
57,0,Leonard-Cushing Fight,1894,9668,0203646
58,0,"Luis Martinetti, Contortionist",1894,9671,0277115
59,0,Sandow No. 2,1894,9673,2161519
60,0,Sandow No. 3,1894,9674,2161521
61,0,Reve au coin du feu,1894,9681,0413219
62,0,Miss Jerry,1894,9779,0000009
86,0,Sherlock Holmes Baffled,1900,1594,0291476
87,0,"Enchanted Drawing, The",1900,4271,0000300
88,0,Grandma&#39;s Reading Glass,1900,4343,0000304
89,0,As Seen Through A Telescope (a.k.a The Professor and His Field Glass),1900,4344,0000272
90,0,Explosion of a Motor Car (a.k.a The Dlights of Automobiling),1900,4345,0257654
91,0,Hamlet ( Le Duel d&#39;Hamlet),1900,4346,0000306
92,0,"One-Man Band, The",1900,4993,0135453
93,0,Grandma Threading Her Needle,1900,5069,0377995
94,0,"Searching Ruins on Broadway, Galveston, for Dead Bodies",1900,5072,0230746
95,0,Let Me Dream Again,1900,5438,0000313
96,0,"Doctor and the Monkey, The",1900,5446,0227438
177,2,Die Nibelungen,1924,1337,0015175
178,2,Kriemhild&#39;s Revenge,1924,1338,0015174
179,0,"Thief of Bagdad, The",1924,1264,0015400
180,0,Wild Oranges,1924,1960,0015498
181,0,"Navigator, The",1924,2009,0015163
182,0,Sherlock Jr.,1924,2011,0015324
183,0,Girl Shy,1924,2016,0014945
184,3,Manhandled,1924,2020,0015116
185,0,"Great White Silence, The",1924,2413,1764657
186,0,Help!,1924,6209,0013845
187,3,Greed,1924,8458,0015881
203,3,It,1927,1227,0018033
204,1,Metropolis,1927,1267,0017136
205,2,Abel Gance&#39;s Napoleon,1927,1312,0018192
206,0,"Unknown, The",1927,1311,0018528
207,2,Sunrise: A Song of Two Humans,1927,1632,0018455
208,0,"Kid Brother, The",1927,1964,0018051
209,0,Nevada,1927,1982,0018199
210,3,My Best Girl,1927,2010,0018183
211,1,Wings,1927,3118,0018578
212,1,"Jazz Singer, The",1927,5975,0018037
213,1,Downhill [When Boys Leave Home],1927,7324,0017825
214,3,"Cat and the Canary, The",1927,11142,0017739
215,0,"Passion of Joan of Arc, The",1928,1314,0019254
216,0,Speedy,1928,1963,0019412
217,0,"Circus, The",1928,1968,0018773
218,0,"Cameraman, The",1928,1970,0018742
219,0,"Steamboat Bill, Jr.",1928,1971,0019421
220,0,"Racket, The",1928,1972,0019304
221,0,Beggars of Life,1928,1977,0018684
222,1,"Power of the Press, The",1928,1979,0019290
223,0,A Girl in Every Port,1928,1980,0018937
224,3,"Patsy, The",1928,2013,0019258
