Wiki_ID,Movie_ID,title,release_date,BoxOfficeRevenue,Runtime,Languages,Countries,Genres,releaseYear,year,budget,Net_revenue
975900,/m/03vyhn,Ghosts of Mars,2001-08-24,14010832.0,98.0,['English Language'],['United States of America'],"['Thriller', 'Science Fiction', 'Horror', 'Adventure', 'Supernatural', 'Action', 'Space western']",2001,2001,28000000.0,-13989168.0
10408933,/m/02qc0j7,Alexander's Ragtime Band,1938-08-16,3600000.0,106.0,['English Language'],['United States of America'],"['Musical', 'Comedy', 'Black-and-white']",1938,1938,2000000.0,1600000.0
171005,/m/016ywb,Henry V,1989-11-08,10161099.0,137.0,['English Language'],['United Kingdom'],"['Costume drama', 'War film', 'Epic', 'Period piece', 'Drama', 'Film adaptation']",1989,1989,9000000.0,1161099.0
77856,/m/0kcn7,Mary Poppins,1964-08-27,102272727.0,139.0,['English Language'],['United States of America'],"[""Children's/Family"", 'Musical', 'Fantasy', 'Comedy', 'Drama', 'Family Film', ""Children's Fantasy""]",1964,1964,6000000.0,96272727.0
156558,/m/014k4y,Baby Boy,2001-06-27,29381649.0,123.0,['English Language'],['United States of America'],"['Crime Fiction', 'Drama', 'Coming of age']",2001,2001,16000000.0,13381649.0
261237,/m/01mrrd,The Gods Must Be Crazy,1980,34331783.0,109.0,"['Afrikaans Language', 'English Language']",['South Africa'],"['Adventure', 'Action/Adventure', 'Indie', 'World cinema', 'Cult', 'Adventure Comedy', 'Comedy', 'Slapstick']",1980,1980,5000000.0,29331783.0
1254263,/m/04mhwd,Shivers,1975-10-10,,89.0,['English Language'],['Canada'],"['Science Fiction', 'Horror', 'Erotica', 'Sci-Fi Horror', 'Psychological thriller', 'Cult', 'Satire', 'Indie']",1975,1975,179000.0,
5664529,/m/0dyy_v,Vixen!,1968,,70.0,['English Language'],['United States of America'],"['Softcore Porn', 'Sexploitation']",1968,1968,76000.0,
5894429,/m/0fc8w8,Closing the Ring,2007-09-14,,117.0,['English Language'],"['United States of America', 'Canada', 'United Kingdom']","['Romantic drama', 'Romance Film', 'Drama', 'War film']",2007,2007,23000000.0,
7767613,/m/026ccts,Star!,1968-07-18,4000000.0,176.0,['English Language'],['United States of America'],"['Biography', 'Musical', 'Drama', 'Biopic [feature]', 'Biographical film', 'Musical Drama']",1968,1968,14320000.0,-10320000.0
3550323,/m/09kzfd,Things to Do in Denver When You're Dead,1995-10,529677.0,115.0,['English Language'],['United States of America'],"['Thriller', 'Crime Fiction', 'Crime Comedy', 'Gangster Film', 'Comedy', 'Crime Thriller', 'Suspense']",1995,1995,8000000.0,-7470323.0
1765938,/m/05v5ws,Convoy,1978,45000000.0,111.0,['English Language'],['United States of America'],"['Action/Adventure', 'Action', 'Drama', 'Comedy']",1978,1978,12000000.0,33000000.0
1305819,/m/04rjwf,C.H.U.D.,1984-08-31,4650000.0,96.0,['English Language'],['United States of America'],"['Monster movie', 'Natural horror films', 'Science Fiction', 'B-movie', 'Creature Film', 'Cult', 'Drama', 'Horror', 'Slasher']",1984,1984,1250000.0,3400000.0
6305925,/m/0g08ws,The Astronaut Farmer,2006-10-15,11130889.0,104.0,"['English Language', 'Spanish Language']",['United States of America'],"['Science Fiction', 'Americana', 'Drama', 'Adventure', 'Indie']",2006,2006,13000000.0,-1869111.0
196176,/m/01bwgr,Straw Dogs,1971-11-03,11148828.0,118.0,['English Language'],"['United States of America', 'United Kingdom']","['Thriller', 'Drama']",1971,1971,2200000.0,8948828.0
336846,/m/01xlqd,Grease,1978-06-16,394589888.0,225.0,['English Language'],['United States of America'],"['Romantic comedy', 'LGBT', 'Musical', 'Comedy', 'Romance Film', 'Teen']",1978,1978,6000000.0,388589888.0
27463222,/m/0c037x9,Vanishing on 7th Street,2010-09-12,,92.0,['English Language'],['United States of America'],"['Thriller', 'Horror', 'Supernatural', 'Gothic Film', 'Mystery', 'Suspense', 'Disaster']",2010,2010,10000000.0,
3033993,/m/08m1s2,Becoming Jane,2007-03-02,37311672.0,112.0,['English Language'],"['Ireland', 'United Kingdom']","['Biography', 'Costume drama', 'Period piece', 'Drama', 'Biopic [feature]', 'Romantic drama', 'Romance Film', 'Biographical film']",2007,2007,16500000.0,20811672.0
5696825,/m/0d_ng1,The Dark Half,1993-04-23,,122.0,['English Language'],['United States of America'],"['Film adaptation', 'Horror', 'Psychological thriller', 'Supernatural']",1993,1993,15000000.0,
103021,/m/0p_sc,Midnight Express,1978-08-31,35000000.0,121.0,"['French Language', 'English Language']","['United States of America', 'United Kingdom']","['Thriller', 'LGBT', 'Indie', 'Crime Fiction', 'Escape Film', 'Biopic [feature]', 'Drama', 'Biographical film', 'Prison', 'Adventure']",1978,1978,2300000.0,32700000.0
1940449,/m/067p6m,RoboCop 3,1993-11-05,10600000.0,105.0,['English Language'],['United States of America'],"['Crime Fiction', 'Thriller', 'Science Fiction', 'Superhero movie', 'Action/Adventure', 'Action']",1993,1993,22000000.0,-11400000.0
6703617,/m/0gj6pd,The Forbidden Kingdom,2008-04-04,127906624.0,105.0,"['Standard Mandarin', 'English Language', 'Standard Cantonese']","['United States of America', 'Hong Kong', 'China']","['Wuxia', 'Fantasy Adventure', 'Adventure', 'Action/Adventure', 'Period piece', 'Martial Arts Film', 'Fantasy', 'Romance Film', 'Action', 'Chinese Movies']",2008,2008,55000000.0,72906624.0
362719,/m/01_mdl,Superman,1978-12-10,300218018.0,151.0,['English Language'],"['United States of America', 'United Kingdom']","['Science Fiction', 'Adventure', 'Superhero movie', 'Action/Adventure', 'Family Film', 'Action']",1978,1978,55000000.0,245218018.0
7696753,/m/0kvfd1,Lord of the Flies,1963-08-13,,90.0,['English Language'],['United Kingdom'],"['Drama', 'Adventure', 'Dystopia', 'Film adaptation']",1963,1963,250000.0,
17379289,/m/043qtrq,Without Warning,1980-11-26,,89.0,['English Language'],['United States of America'],"['Science Fiction', 'Horror']",1980,1980,150000.0,
5549065,/m/0ds11z,Sweeney Todd: The Demon Barber of Fleet Street,2007-12-03,152523164.0,117.0,['English Language'],"['United States of America', 'United Kingdom']","['Crime Fiction', 'Tragedy', 'Horror', 'Supernatural', 'Musical', 'Drama']",2007,2007,50000000.0,102523164.0
2608958,/m/07rf_1,Nothing to Lose,1997-07-18,44480039.0,97.0,['English Language'],['United States of America'],"['Crime Fiction', 'Action/Adventure', 'Action', 'Buddy film', 'Comedy']",1997,1997,25000000.0,19480039.0
26624119,/m/0bh9t6p,Beyond the Time Barrier,1960-07,,74.0,['English Language'],['United States of America'],"['Science Fiction', 'Time travel']",1960,1960,125000.0,
